City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudness,Wind speed,Country,Date
309,walvis bay,-22.9575,14.5053,54.09,79,0,5.99,NA,1623294370
310,rabat,33.9911,-6.8401,67.15,100,32,1.72,MA,1623294370
311,jiangyou,31.7667,104.7167,79.97,58,35,5.12,CN,1623294370
312,iskilip,40.7353,34.4739,55.49,86,88,4.56,TR,1623294371
313,santa rosa,14.3122,121.1114,90.09,71,85,0.65,PH,1623294371
314,usilampatti,9.9667,77.8,85.15,56,100,6.06,IN,1623294371
315,airai,-8.9266,125.4092,71.56,59,90,2.53,TL,1623294371
316,banamba,13.55,-7.45,84.15,47,98,5.44,ML,1623294372
317,tigil,57.8,158.6667,63.64,50,94,27.22,RU,1623294372
318,iqaluit,63.7506,-68.5145,34.7,81,3,11.99,CA,1623294372
319,santiago de cao,-7.9589,-79.2392,65.52,89,100,11.99,PE,1623294372
320,batemans bay,-35.7167,150.1833,54.91,81,95,3.91,AU,1623294373
321,diffun,16.6,121.5,85.51,68,96,3.13,PH,1623294373
322,cukai,4.25,103.4167,85.55,64,100,2.46,MY,1623294373
323,husavik,66.0449,-17.3389,49.75,83,100,7.45,IS,1623294374
324,pozo colorado,-23.4923,-58.7972,67.73,99,91,3.4,PY,1623294374
325,staryy nadym,65.6118,72.6842,51.91,48,95,8.88,RU,1623294374
326,novosemeykino,53.3833,50.3667,65.35,72,40,1.14,RU,1623294374
327,lokeren,51.1154,3.963,59.41,68,51,5.37,BE,1623294265
328,nobeoka,32.5833,131.6667,83.77,79,100,8.5,JP,1623294375
329,bambous virieux,-20.3428,57.7575,73.65,68,75,18.75,MU,1623294375
330,emirdag,39.0197,31.15,55.33,85,58,2.59,TR,1623294375
331,tiksi,71.6872,128.8694,39.29,67,12,9.73,RU,1623294375
332,hamilton,39.1834,-84.5333,73.36,95,75,1.01,US,1623294376
333,burnie,-41.0667,145.9167,60.93,69,34,21.27,AU,1623294376
334,mastic beach,40.7668,-72.8521,79.0,89,40,0.0,US,1623294376
335,catuday,16.2923,119.8062,80.87,77,100,16.33,PH,1623294377
336,pueblo nuevo solistahuacan,17.1,-92.8833,66.94,95,100,2.24,MX,1623294377
337,lanciano,42.2167,14.3882,66.22,59,75,7.81,IT,1623294377
338,porosozero,62.7191,32.727,55.09,51,2,2.19,RU,1623294378
339,nurota,40.5614,65.6886,77.09,21,0,5.14,UZ,1623294378
340,ust-nera,64.5667,143.2,49.08,70,100,6.38,RU,1623294378
341,goshogawara,40.8044,140.4414,75.92,63,13,6.26,JP,1623294378
342,concepcion del uruguay,-32.4825,-58.2372,56.86,97,100,0.94,AR,1623294379
343,kirakira,-10.4544,161.9205,84.42,71,68,9.42,SB,1623294379
344,moron,-34.6534,-58.6198,60.96,98,100,3.24,AR,1623294379
345,manado,1.487,124.8455,92.17,49,20,3.65,ID,1623294110
346,wanaka,-44.7,169.15,52.81,69,96,0.85,NZ,1623294379
347,bulgan,48.8125,103.5347,68.52,31,100,7.7,MN,1623294380
348,sharjah,25.3573,55.4033,89.26,67,1,6.08,AE,1623294154
349,pangody,65.85,74.4859,50.65,49,91,10.83,RU,1623294380
350,havelock,34.8791,-76.9013,78.94,92,1,5.01,US,1623294380
351,pasighat,28.0667,95.3333,85.93,65,100,2.19,IN,1623294381
352,sao filipe,14.8961,-24.4956,74.07,80,30,6.51,CV,1623294381
353,letka,59.6011,49.4232,57.02,50,2,3.38,RU,1623294381
354,labuhan,-6.8844,112.2051,85.19,66,41,6.24,ID,1623294381
355,verkhnyaya inta,65.9811,60.3094,48.27,73,100,4.63,RU,1623294382
356,valparaiso,-33.0393,-71.6273,57.47,82,42,8.52,CL,1623294144
357,gigmoto,13.7796,124.39,81.84,79,100,5.23,PH,1623294382
358,sisimiut,66.9395,-53.6735,36.63,87,58,11.43,GL,1623294382
359,chuy,-33.6971,-53.4616,60.85,96,100,11.25,UY,1623294382
360,shingu,33.7333,135.9833,76.37,62,0,8.28,JP,1623294383
361,chake chake,-5.2459,39.7666,73.4,85,64,9.01,TZ,1623294136
362,half moon bay,37.4636,-122.4286,61.41,71,20,9.22,US,1623294383
363,rio gallegos,-51.6226,-69.2181,40.55,80,88,22.19,AR,1623294211
364,northam,51.0333,-4.2167,60.39,96,100,7.2,GB,1623294383
365,ponta delgada,37.7333,-25.6667,66.92,94,75,8.05,PT,1623294275
366,ondjiva,-17.0667,15.7333,52.83,51,0,6.44,AO,1623294384
367,ahuimanu,21.4447,-157.8378,83.91,59,40,13.8,US,1623294384
368,althofen,46.8818,14.4676,54.75,92,99,3.13,AT,1623294384
